+Difficulty,Title,Frequency,Acceptance Rate,Link,Topics,DONE
EASY,Two Sum,100,0.55338459,https://leetcode.com/problems/two-sum,"Array, Hash Table",Y
EASY,Merge Strings Alternately,88.4,0.8205624,https://leetcode.com/problems/merge-strings-alternately,"Two Pointers, String",
EASY,Merge Sorted Array,85.4,0.524969827,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting",
EASY,Create Hello World Function,83.1,0.820560004,https://leetcode.com/problems/create-hello-world-function,,
MEDIUM,3Sum,79.2,0.366654037,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting",
MEDIUM,Apply Substitutions,77.8,0.770636613,https://leetcode.com/problems/apply-substitutions,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Graph, Topological Sort",
MEDIUM,Number of Islands,76.2,0.618624374,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",
EASY,Recyclable and Low Fat Products,74.5,0.893434447,https://leetcode.com/problems/recyclable-and-low-fat-products,Database,
EASY,Palindrome Number,72.7,0.588632674,https://leetcode.com/problems/palindrome-number,Math,
HARD,Number of Islands II,72.7,0.400247887,https://leetcode.com/problems/number-of-islands-ii,"Array, Hash Table, Union Find",
EASY,Add Two Integers,70.7,0.881260277,https://leetcode.com/problems/add-two-integers,Math,
MEDIUM,Add Two Numbers,68.6,0.457198301,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion",
EASY,Best Time to Buy and Sell Stock,68.6,0.54925069,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming",
HARD,Median of Two Sorted Arrays,68.6,0.432342468,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer",
MEDIUM,Longest Substring Without Repeating Characters,68.6,0.365438079,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window",
MEDIUM,House Robber,66.2,0.520952306,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming",
EASY,Plus One,63.5,0.47228594,https://leetcode.com/problems/plus-one,"Array, Math",
EASY,Remove Duplicates from Sorted Array,63.5,0.598068864,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers",
HARD,Russian Doll Envelopes,60.5,0.372092047,https://leetcode.com/problems/russian-doll-envelopes,"Array, Binary Search, Dynamic Programming, Sorting",
MEDIUM,Generate Parentheses,60.5,0.767503166,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking",
MEDIUM,Meeting Rooms II,60.5,0.520057993,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum",
MEDIUM,LRU Cache,57.1,0.447175961,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List",
HARD,Range Module,57.1,0.441220787,https://leetcode.com/problems/range-module,"Design, Segment Tree, Ordered Set",
EASY,Longest Common Prefix,57.1,0.451019944,https://leetcode.com/problems/longest-common-prefix,"String, Trie",
EASY,Valid Palindrome,57.1,0.504535428,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String",
HARD,Largest Rectangle in Histogram,57.1,0.468408199,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack",
MEDIUM,Exclusive Time of Functions,52.9,0.643378781,https://leetcode.com/problems/exclusive-time-of-functions,"Array, Stack",
MEDIUM,Move Pieces to Obtain a String,52.9,0.569060313,https://leetcode.com/problems/move-pieces-to-obtain-a-string,"Two Pointers, String",
MEDIUM,Longest Consecutive Sequence,52.9,0.471266899,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find",
EASY,Valid Anagram,52.9,0.663301801,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting",
EASY,Big Countries,52.9,0.68192964,https://leetcode.com/problems/big-countries,Database,
